empresa_cnpj,empresa_razaoSocial,processo_numero,peticao_expediente,peticao_dataEntrada,assunto_descricao,situacao_descricao,peticao_dataPublicacao,Tempo_Peticao
17562075000169,CIFARMA CIENTÍFICA FARMACÊUTICA LTDA,25351913139201629,1334323168,2016-03-07 00:00:00-03:00,ESPECÍFICO - Registro de Medicamento,Foi publicado o indeferimento do processo ou da petição.,2017-01-30 00:00:00-03:00,329
42374207000176,LABORATORIOS SERVIER DO BRASIL LTDA,25351908332202461,37192241,2024-01-11 00:00:00-03:00,MEDICAMENTO NOVO - Registro de medicamento novo (novo IFA) – via de desenvolvimento completo,Foi publicado o deferimento do processo ou da petição.,2025-08-11 00:00:00-03:00,578
61190096000192,EUROFARMA LABORATORIOS S.A.,25351906272202018,2988332206,2020-09-03 00:00:00-03:00,ESPECÍFICO - Registro de Medicamento,Foi publicado o deferimento do processo ou da petição.,2020-11-16 00:00:00-03:00,74
3485572000104,GEOLAB INDÚSTRIA FARMACÊUTICA S/A,25351906215202110,253800218,2021-01-20 00:00:00-03:00,SIMILAR - Registro de Medicamento Similar,Foi publicado o deferimento do processo ou da petição.,2023-05-22 00:00:00-03:00,852
73657876000189,ORIENT MIX FITOTERÁPICOS DO BRASIL LTDA.,25351903817201615,1319940164,2016-03-02 00:00:00-03:00,PRODUTO TRADICIONAL FITOTERÁPICO - Registro de Medicamento,Foi publicado o indeferimento do processo ou da petição.,2019-06-17 00:00:00-03:00,1202
60665981000118,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,25351898636202160,4756314211,2021-12-03 11:57:53-03:00,SIMILAR - Registro de Medicamento Similar,Foi publicado o deferimento do processo ou da petição.,2023-05-22 00:00:00-03:00,534
44734671000151,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,25351894251202042,2954723207,2020-09-01 00:00:00-03:00,SIMILAR - Registro de Medicamento Similar,Foi publicado o deferimento do processo ou da petição.,2022-10-24 00:00:00-03:00,783
19307668000104,Helixor Medicamentos do Brasil Ltda,25351892753201601,1302652166,2016-02-25 00:00:00-03:00,DINAMIZADO - Registro de Medicamento,Foi publicado o indeferimento do processo ou da petição.,2017-10-30 00:00:00-03:00,613
61082426000207,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.,25351892510202424,10642249,2024-01-04 11:00:29-03:00,MEDICAMENTO INOVADOR - Registro de medicamento inovador (nova forma farmacêutica) – via de desenvolvimento abreviado,Foi publicado o indeferimento do processo ou da petição.,2025-09-22 00:00:00-03:00,626
60874187000184,DAIICHI SANKYO BRASIL FARMACÊUTICA LTDA,25351892087202110,4740047211,2021-12-02 00:00:00-03:00,MEDICAMENTO NOVO - Registro de Forma Farmacêutica Nova no País,Foi publicado o deferimento do processo ou da petição.,2023-03-06 00:00:00-03:00,459
3978166000175,DR. REDDYS FARMACÊUTICA DO BRASIL LTDA,25351891910202412,9778241,2024-01-04 00:00:00-03:00,GENERICO - Registro de Medicamento,Foi publicado o deferimento do processo ou da petição.,2024-11-11 00:00:00-03:00,312
61190096000192,EUROFARMA LABORATORIOS S.A.,25351890563202419,6924248,2024-01-03 00:00:00-03:00,GENERICO - Registro de Medicamento,Foi publicado o deferimento do processo ou da petição.,2025-09-08 00:00:00-03:00,614
61190096000192,EUROFARMA LABORATORIOS S.A.,25351890558202406,6910248,2024-01-03 00:00:00-03:00,GENERICO - Registro de Medicamento,Foi publicado o deferimento do processo ou da petição.,2025-11-24 00:00:00-03:00,691
17159229000176,LABORATORIO TEUTO BRASILEIRO S/A,25351887252202464,1895243,2024-01-02 00:00:00-03:00,ESPECÍFICO - Registro de Medicamento,Foi publicado o deferimento do processo ou da petição.,2025-12-15 00:00:00-03:00,713
60726692000181,MARJAN INDÚSTRIA E COMÉRCIO LTDA,25351887143202013,2936946201,2020-08-31 00:00:00-03:00,MEDICAMENTO FITOTERÁPICO - Registro de Medicamento,Foi publicado o deferimento do processo ou da petição.,2021-05-17 00:00:00-03:00,259
5035244000123,SUN FARMACÊUTICA DO BRASIL LTDA,25351885522202150,4726604210,2021-12-01 00:00:00-03:00,MEDICAMENTO NOVO - Registro de Forma Farmacêutica Nova no País,Foi publicado o indeferimento do processo ou da petição.,2025-02-03 00:00:00-03:00,1160
3978166000175,DR. REDDYS FARMACÊUTICA DO BRASIL LTDA,25351885113202315,1486767232,2023-12-29 00:00:00-03:00,GENERICO - Registro de Medicamento,Foi publicado o deferimento do processo ou da petição.,2025-07-28 00:00:00-03:00,577
60659463002992,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,25351885101202391,1486748236,2023-12-29 00:00:00-03:00,GENERICO - Registro de Medicamento,Foi publicado o indeferimento do processo ou da petição.,2024-06-24 00:00:00-03:00,178
60659463002992,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,25351885079202389,1486716238,2023-12-29 00:00:00-03:00,MEDICAMENTO INOVADOR - Registro de medicamento inovador (nova forma farmacêutica) – via de desenvolvimento abreviado,Foi publicado o deferimento do processo ou da petição.,2025-06-09 00:00:00-03:00,528
60659463002992,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,25351885013202399,1486619236,2023-12-29 00:00:00-03:00,MEDICAMENTO INOVADOR - Registro de medicamento inovador (nova concentração) – via de desenvolvimento abreviado,Foi publicado o deferimento do processo ou da petição.,2025-07-07 00:00:00-03:00,556
17115437000173,LABORATORIO GLOBO SA,25351883713201635,1289343169,2016-02-22 00:00:00-03:00,GENERICO - Registro de Medicamento,Foi publicado o deferimento do processo ou da petição.,2019-06-10 00:00:00-03:00,1204
3485572000104,GEOLAB INDÚSTRIA FARMACÊUTICA S/A,25351883451202312,1484541235,2023-12-29 08:08:31-03:00,GENERICO - Registro de Medicamento,Foi publicado o indeferimento do processo ou da petição.,2024-05-13 00:00:00-03:00,135
43940618000144,ELI LILLY DO BRASIL LTDA,25351880657202129,4712554213,2021-11-30 00:00:00-03:00,MEDICAMENTO NOVO - Registro de Medicamento Novo,Foi publicado o deferimento do processo ou da petição.,2023-09-25 00:00:00-03:00,664
61286647000116,SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA,25351880652202104,4712543218,2021-11-30 00:00:00-03:00,SIMILAR - Registro de Medicamento Similar,Foi publicado o indeferimento do processo ou da petição.,2023-09-11 00:00:00-03:00,650
17115437000173,LABORATORIO GLOBO SA,25351880651202151,4712538211,2021-11-30 00:00:00-03:00,PRODUTO TRADICIONAL FITOTERÁPICO - Registro de Medicamento,Foi publicado o deferimento do processo ou da petição.,2023-07-10 00:00:00-03:00,587
48344725000719,ALTHAIA S.A. INDUSTRIA FARMACEUTICA,25351880158202131,4712323211,2021-11-30 00:00:00-03:00,GENERICO - Registro de Medicamento,Foi publicado o deferimento do processo ou da petição.,2023-06-05 00:00:00-03:00,552
48344725000719,ALTHAIA S.A. INDUSTRIA FARMACEUTICA,25351880155202106,4712293215,2021-11-30 00:00:00-03:00,GENERICO - Registro de Medicamento,Foi publicado o deferimento do processo ou da petição.,2023-08-21 00:00:00-03:00,629
60665981000118,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,25351880095202385,1479290237,2023-12-28 08:26:05-03:00,MEDICAMENTO NOVO - Registro de medicamento novo (novo IFA) – via de desenvolvimento abreviado,Foi publicado o indeferimento do processo ou da petição.,2024-02-05 00:00:00-03:00,38
60659463002992,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,25351879234202166,3040417217,2021-08-04 00:00:00-03:00,MEDICAMENTO NOVO - Registro de Forma Farmacêutica Nova no País,Foi publicado o deferimento do processo ou da petição.,2023-07-10 00:00:00-03:00,705
30222814000131,VITAMEDIC INDUSTRIA FARMACEUTICA LTDA,25351878600202160,4711036218,2021-11-30 00:00:00-03:00,GENERICO - Registro de Medicamento,Foi publicado o deferimento do processo ou da petição.,2023-08-11 00:00:00-03:00,619
60665981000118,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,25351878395202051,2907624202,2020-08-28 00:00:00-03:00,SIMILAR - Registro de Medicamento Similar,Foi publicado o deferimento do processo ou da petição.,2021-03-19 00:00:00-03:00,203
30222814000131,VITAMEDIC INDUSTRIA FARMACEUTICA LTDA,25351877894202111,4710080210,2021-11-30 00:00:00-03:00,SIMILAR - Registro de Medicamento Similar,Foi publicado o deferimento do processo ou da petição.,2024-06-10 00:00:00-03:00,923
9117476000181,MANDALA BRASIL IMPORTACAO E DISTRIBUICAO DE PRODUTO MEDICO HOSPITALAR LTDA,25351877781202026,2905020201,2020-08-28 00:00:00-03:00,GENERICO - Registro de Medicamento,Foi publicado o deferimento do processo ou da petição.,2021-10-13 00:00:00-03:00,411
44734671000151,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,25351877640202194,4709711216,2021-11-30 00:00:00-03:00,ESPECÍFICO - Registro de Medicamento,Foi publicado o deferimento do processo ou da petição.,2023-01-02 00:00:00-03:00,398
58430828000160,BLAU FARMACEUTICA S.A.,25351877530202122,4709595214,2021-11-30 08:56:45-03:00,GENERICO - Registro de Medicamento,Foi publicado o deferimento do processo ou da petição.,2023-07-25 00:00:00-03:00,601
9117476000181,MANDALA BRASIL IMPORTACAO E DISTRIBUICAO DE PRODUTO MEDICO HOSPITALAR LTDA,25351876153202023,2902701202,2020-08-28 00:00:00-03:00,GENERICO - Registro de Medicamento,Foi publicado o deferimento do processo ou da petição.,2021-11-08 00:00:00-03:00,437
5161069000110,BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A,25351875507202365,1470684239,2023-12-26 00:00:00-03:00,GENERICO - Registro de Medicamento,Foi publicado o indeferimento do processo ou da petição.,2024-02-05 00:00:00-03:00,41
62462015000129,APSEN FARMACEUTICA S/A,25351873999201673,1275061161,2016-02-17 00:00:00-03:00,MEDICAMENTO NOVO - Registro de Forma Farmacêutica Nova no País,Foi publicado o deferimento do processo ou da petição.,2021-04-26 00:00:00-03:00,1895
46179008000168,BRASTERAPICA PHARMACEUTICA LTDA.,25351873987201600,1275043163,2016-02-17 00:00:00-03:00,MEDICAMENTO FITOTERÁPICO - Registro de Medicamento,Foi publicado o deferimento do processo ou da petição.,2019-11-25 00:00:00-03:00,1377
57507378000365,EMS S/A,25351873958201677,1275004162,2016-02-17 00:00:00-03:00,GENERICO - Registro de Medicamento,Foi publicado o deferimento do processo ou da petição.,2018-09-03 00:00:00-03:00,929
9058502000148,FARMA VISION IMPORTACAO E EXPORTACAO DE MEDICAMENTOS LTDA,25351871406202315,1464933231,2023-12-22 00:00:00-03:00,PRODUTO TRADICIONAL FITOTERÁPICO - Registro de Medicamento,Foi publicado o indeferimento do processo ou da petição.,2025-04-28 00:00:00-03:00,493
60665981000118,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,25351871132202011,2888072202,2020-08-27 00:00:00-03:00,SIMILAR - Registro de Medicamento Similar,Foi publicado o deferimento do processo ou da petição.,2021-05-25 00:00:00-03:00,271
60659463002992,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,25351869250202141,4699665216,2021-11-29 00:00:00-03:00,MEDICAMENTO NOVO - Registro de Forma Farmacêutica Nova no País,Foi publicado o deferimento do processo ou da petição.,2023-08-11 00:00:00-03:00,620
64171697000146,ACCORD FARMACÊUTICA LTDA,25351869248202171,4699648216,2021-11-29 00:00:00-03:00,GENERICO - Registro de Medicamento,Foi publicado o deferimento do processo ou da petição.,2024-08-26 00:00:00-03:00,1001
14665928000108,VOLPHARMA DISTRIBUIDORA DE PRODUTOS HOSPITALARES E FARMACÊUTICOS LTDA,25351869242202102,4699632210,2021-11-29 00:00:00-03:00,GENERICO - Registro de Medicamento,Foi publicado o deferimento do processo ou da petição.,2022-03-21 00:00:00-03:00,112
57507378000365,EMS S/A,25351869125201671,1268068161,2016-02-15 00:00:00-03:00,GENERICO - Registro de Medicamento,Foi publicado o deferimento do processo ou da petição.,2016-11-07 00:00:00-03:00,266
61082426000207,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.,25351868324202121,3014612217,2021-08-02 00:00:00-03:00,MEDICAMENTO NOVO - Registro de Forma Farmacêutica Nova no País,Foi publicado o deferimento do processo ou da petição.,2023-07-25 00:00:00-03:00,722
64171697000146,ACCORD FARMACÊUTICA LTDA,25351868294202153,3014507214,2021-08-02 00:00:00-03:00,MEDICAMENTO NOVO - Registro de Forma Farmacêutica Nova no País,Foi publicado o indeferimento do processo ou da petição.,2024-07-15 00:00:00-03:00,1078
57507378000365,EMS S/A,25351868260201611,1266884162,2016-02-15 00:00:00-03:00,GENERICO - Registro de Medicamento,Foi publicado o deferimento do processo ou da petição.,2017-01-30 00:00:00-03:00,350
57507378000365,EMS S/A,25351867002202327,1458024231,2023-12-21 00:00:00-03:00,GENERICO - Registro de Medicamento,Foi publicado o deferimento do processo ou da petição.,2025-12-15 00:00:00-03:00,725
57507378000365,EMS S/A,25351866990202397,1458032232,2023-12-21 00:00:00-03:00,ESPECÍFICO - Registro de Medicamento,Foi publicado o deferimento do processo ou da petição.,2025-09-29 00:00:00-03:00,648
60665981000118,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,25351866795202103,3009769210,2021-08-02 00:00:00-03:00,SIMILAR - Registro de Medicamento Similar,Foi publicado o deferimento do processo ou da petição.,2022-04-07 00:00:00-03:00,248
17562075000169,CIFARMA CIENTÍFICA FARMACÊUTICA LTDA,25351866788202101,3009750219,2021-08-02 00:00:00-03:00,PRODUTO TRADICIONAL FITOTERÁPICO - Registro de Medicamento,Foi publicado o deferimento do processo ou da petição.,2022-09-05 00:00:00-03:00,399
60665981000118,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,25351866755202153,3009645216,2021-08-02 00:00:00-03:00,SIMILAR - Registro de Medicamento Similar,Foi publicado o deferimento do processo ou da petição.,2023-06-26 00:00:00-03:00,693
317372000146,GALDERMA BRASIL LTDA,25351866750202040,2874738201,2020-08-26 00:00:00-03:00,MEDICAMENTO NOVO - Registro de Medicamento Novo,Foi publicado o deferimento do processo ou da petição.,2025-12-08 00:00:00-03:00,1930
33223157000135,MAKROFARMA QUIMICA FARMACEUTICA LTDA,25351866302202127,3009097211,2021-08-02 00:00:00-03:00,ESPECÍFICO - Registro de Medicamento,Foi publicado o deferimento do processo ou da petição.,2022-12-05 00:00:00-03:00,490
57507378000365,EMS S/A,25351865507201625,1262574164,2016-02-12 00:00:00-03:00,GENERICO - Registro de Medicamento,Foi publicado o deferimento do processo ou da petição.,2016-09-12 00:00:00-03:00,213
57507378000365,EMS S/A,25351865364201630,1262376168,2016-02-12 00:00:00-03:00,GENERICO - Registro de Medicamento,Foi publicado o indeferimento do processo ou da petição.,2017-01-16 00:00:00-03:00,339
46179008000168,BRASTERAPICA PHARMACEUTICA LTDA.,25351864935202109,3007057211,2021-08-02 08:21:44-03:00,GENERICO - Registro de Medicamento,Foi publicado o indeferimento do processo ou da petição.,2023-02-13 00:00:00-03:00,559
57507378000365,EMS S/A,25351864714201681,1261491162,2016-02-12 00:00:00-03:00,GENERICO - Registro de Medicamento,Foi publicado o deferimento do processo ou da petição.,2016-10-03 00:00:00-03:00,234
57507378000365,EMS S/A,25351864707201647,1261481165,2016-02-12 00:00:00-03:00,SIMILAR - Registro de Medicamento Similar,Foi publicado o deferimento do processo ou da petição.,2017-07-24 00:00:00-03:00,528
7670111000154,Arese Pharma Ltda,25351864573202318,1454250231,2023-12-21 08:07:31-03:00,ESPECÍFICO - Registro de Medicamento,Foi publicado o indeferimento do processo ou da petição.,2025-11-24 00:00:00-03:00,703
44363661000157,GLENMARK FARMACÊUTICA LTDA,25351864560202331,1454199238,2023-12-21 07:59:39-03:00,GENERICO - Registro de Medicamento,Foi publicado o indeferimento do processo ou da petição.,2024-10-14 00:00:00-03:00,297
62462015000129,APSEN FARMACEUTICA S/A,25351864555202328,1454179233,2023-12-21 00:00:00-03:00,GENERICO - Registro de Medicamento,Foi publicado o indeferimento do processo ou da petição.,2024-12-02 00:00:00-03:00,347
62462015000129,APSEN FARMACEUTICA S/A,25351864554202383,1454176239,2023-12-21 00:00:00-03:00,GENERICO - Registro de Medicamento,Foi publicado o deferimento do processo ou da petição.,2025-03-10 00:00:00-03:00,445
61068755000708,SANVAL COMERCIO E INDUSTRIA LTDA,25351862942202168,4693750211,2021-11-29 07:57:59-03:00,GENERICO - Registro de Medicamento,Foi publicado o indeferimento do processo ou da petição.,2022-09-19 00:00:00-03:00,293
57507378000365,EMS S/A,25351862195201600,1257973164,2016-02-11 00:00:00-03:00,GENERICO - Registro de Medicamento,Foi publicado o deferimento do processo ou da petição.,2017-10-16 00:00:00-03:00,613
2433631000120,ASPEN PHARMA INDÚSTRIA FARMACÊUTICA LTDA,25351861566201614,1257084162,2016-02-11 00:00:00-03:00,MEDICAMENTO FITOTERÁPICO - Registro de Medicamento,Foi publicado o indeferimento do processo ou da petição.,2017-07-17 00:00:00-03:00,522
62462015000129,APSEN FARMACEUTICA S/A,25351860605201831,1215579189,2018-12-28 00:00:00-03:00,SIMILAR - Registro de Medicamento Similar,Foi publicado o deferimento do processo ou da petição.,2020-08-10 00:00:00-03:00,591
51780468000187,JANSSEN-CILAG FARMACEUTICA LTDA,25351860423201860,1215302188,2018-12-28 00:00:00-03:00,MEDICAMENTO NOVO - Registro de Medicamento Novo,Foi publicado o deferimento do processo ou da petição.,2019-09-30 00:00:00-03:00,276
57507378000365,EMS S/A,25351860098201671,1255120161,2016-02-11 00:00:00-03:00,GENERICO - Registro de Medicamento,Foi publicado o deferimento do processo ou da petição.,2017-06-26 00:00:00-03:00,501
57507378000365,EMS S/A,25351860075201651,1255090166,2016-02-11 00:00:00-03:00,MEDICAMENTO NOVO - Registro de Concentração Nova no País,Foi publicado o deferimento do processo ou da petição.,2020-01-27 00:00:00-03:00,1446
57507378000365,EMS S/A,25351860058201601,1255066163,2016-02-11 00:00:00-03:00,ESPECÍFICO - Registro de Medicamento,Foi publicado o indeferimento do processo ou da petição.,2017-09-04 00:00:00-03:00,571
57507378000365,EMS S/A,25351860041201699,1255042166,2016-02-11 00:00:00-03:00,SIMILAR - Registro de Medicamento Similar,Foi publicado o indeferimento do processo ou da petição.,2016-06-13 00:00:00-03:00,123
39809660000153,TARGO COMÉRCIO INTERNACIONAL LIMITADA,25351859916201857,1214652188,2018-12-28 00:00:00-03:00,GENERICO - Registro de Medicamento,Foi publicado o indeferimento do processo ou da petição.,2020-04-20 00:00:00-03:00,479
25210463000109,PTC FARMACEUTICA DO BRASIL LTDA.,25351859893201881,1214603180,2018-12-28 00:00:00-03:00,MEDICAMENTO NOVO - Registro de Medicamento Novo,Foi publicado o deferimento do processo ou da petição.,2019-10-29 00:00:00-03:00,305
